Involvement ID;Investor ID Downstream;Investor Name Downstream;Investor ID Upstream;Investor Name Upstream;Relation type;Investment type;Ownership share;Loan amount;Loan currency;Loan date;Comment
46;34912;Green Future Innovations Inc. (GFII);139;Itochu Corporation;Parent company;Shares/Equity;;;;;
47;34912;Green Future Innovations Inc. (GFII);424;GCO;Parent company;Shares/Equity;;;;;
78;34925;Unknown (Chaoda Modern Agriculture);157;Chaoda Modern Agriculture (Holdings) Limited;Parent company;;;;;;
80;34928;Unknown (China Huiyuan Juice Groups);160;China Huiyuan Juice Group Ltd;Parent company;;;;;;
83;34935;Unknown (PT Puri Usaha Kencana, Sinopec);2620;PT Puri Usaha Kencana;Parent company;;;;;;
84;34935;Unknown (PT Puri Usaha Kencana, Sinopec);167;Sinopec;Parent company;;;;;;
85;34936;Unknown (Bolloré Group, Mellori Group);169;Mellori Group;Parent company;;;;;;
86;34936;Unknown (Bolloré Group, Mellori Group);168;Bolloré Group;Parent company;;;;;;
89;34945;Unknown (Harim Group);1923;Harim Holdings Co Ltd;Parent company;;;;;;
90;34946;UNKNOWN (NONGHYUP FEED INC, DAEWOO LOGISTICS);182;Nonghyup Feed Inc.;Parent company;;;;;;
91;34946;UNKNOWN (NONGHYUP FEED INC, DAEWOO LOGISTICS);1669;Daewoo Logistics;Parent company;;;;;;
103;34957;Unknown (Sime Darby);201;Sime Darby;Parent company;;;;;;
112;34966;PT. Henrison Inti Persada (IDN);211;Noble Resources Trading Holdings Limited (Noble Group);Parent company;;95.0;;;;
113;34976;Unknown (Dexion Capital);222;Dexion Capital;Parent company;;;;;;
114;34978;Unknown (Saudi Company for Agricultural Investment and Animal Production);224;Saudi Company for Agricultural Investment and Animal Production;Parent company;;;;;;
115;34982;Unknown (Noor company);228;Noor company;Parent company;;;;;;
116;34983;Unknown (I K Company);229;I K Company;Parent company;;;;;;
118;34985;Unknown (Hawkar);231;Hawkar;Parent company;;;;;;
119;34986;Unknown (Shiwa Company);232;Shiwa Company;Parent company;;;;;;
120;34987;Phu Bia Mining Limited;2019;PanAust Limited;Parent company;;;;;;
122;34989;Unknown (Agarwood Lao Group Co. Ltd.);235;Lao Agar International Development Co. Ltd. (L.A.I.D);Parent company;;;;;;
124;34993;Unknown (Cherchanghang Co);239;Cherchanghang Co;Parent company;;;;;;
125;34995;Unknown (Crapkin Agriculture Co Ltd);242;Crapkin Agriculture Co Ltd;Parent company;;;;;;
128;34997;Unknown (Dao Lao Co);2047;LAO GEO CONSULTANT Co., Ltd.;Parent company;;30.0;;;;
129;34997;Unknown (Dao Lao Co);2046;ONIX Ltd;Parent company;;60.0;;;;
130;34997;Unknown (Dao Lao Co);2048;MK-GROUP Co., Ltd.;Parent company;;10.0;;;;
131;34999;Unknown (Municipal Government of Chongqing, Government of Laos);2051;Government of Laos;Parent company;;;;;;
132;34999;Unknown (Municipal Government of Chongqing, Government of Laos);2050;Municipal Government of Chongqing;Parent company;;;;;;
133;35000;Unknown (GO Crapkin Co Ltd);247;GO Crapkin Co Ltd;Parent company;;;;;;
166;35003;Unknown (Heurnmao Rubber Co);252;Heurnmao Rubber Co. Ltd.;Parent company;;;;;;
169;35005;Unknown (Industrial and Agricultural Development for Import-Export);254;Industrial and Agricultural Development for Import-Export;Parent company;;;;;;
170;35006;Tongly-Jinggu;2059;Tongly;Parent company;;;;;;
171;35006;Tongly-Jinggu;255;Mengla Jinggu Trading Co.;Parent company;;;;;;
172;35007;Kolao Farm and Bio Energy Company;2060;Koala Group;Parent company;;;;;;
173;35007;Kolao Farm and Bio Energy Company;2240;Kolao Group;Parent company;;;;;;
176;35010;Savannakhet Sugar Corporation (SSC);2145;Khon Kaen Sugar Industry Public Company Limited;Parent company;Shares/Equity;98.0;;;;"Savannakhet Sugar Corporation (SSC) is a subsidiary of Khon Kaen Sugar Industry Public Company Limited (KSL).  Savannakhet Sugar Corporation is controlled by the company which owns 98.00% of the subsidiary’s shares

"
177;35011;Unknown (KV Import-Export Co. Ltd.);260;KV Import-Export Co. Ltd.;Parent company;;;;;;
178;35012;Unknown (Lakorea Co.);261;Lakorea Co.;Parent company;;;;;;
182;35020;Lao-Yunnan Power Biological Products Company;2077;Yunnan Power Biological Products Co. Ltd;Parent company;;;;;;
185;35022;Unknown (Mr Chang Hwan Choi);275;Mr. Chang Hwan Choi;Parent company;;;;;;
186;35023;Unknown (Mr Lai Vanthong);276;Mr. Lai Vanthong;Parent company;;;;;;
187;35027;Unknown (Rafarm Agriculture Development Co.);281;Rafarm Agriculture Development Co.;Parent company;;;;;;
188;35028;JVA of Mai District Authority and the Thien Loui Ye Company Ltd;282;Thien Loui Ye Co Ltd;Parent company;;;;;;
189;35029;Unknown (Tongtheun Lao-China Agriculture Development);283;Tongtheun Lao-China Agriculture Development;Parent company;;;;;;
190;35032;Unknown (Wanxouane Ngouane Thanghai Co);287;Wanxouane Ngouane Thanghai Co;Parent company;;;;;;
193;35038;Xaysomboun Agriculture Development Co., Ltd;2089;Xaysomboun Agriculture Development Co.;Parent company;;;;;;
194;35040;Unknown (Yongfong Xeun Co);296;Yongfong Xeun Co;Parent company;;;;;;
195;35041;Unknown (Yongfongxeun Industrial Wood Plantation Co. Ltd.);297;Yongfongxeun Industrial Wood Plantation Co. Ltd.;Parent company;;;;;;
220;35083;Unknown (Kuwait Fund For Arab Economic Development, Kuwait Investment Authority (KIA), Kuwait Petroleum Corporation);339;Kuwait Investment Authority (KIA);Parent company;;;;;;
221;35083;Unknown (Kuwait Fund For Arab Economic Development, Kuwait Investment Authority (KIA), Kuwait Petroleum Corporation);341;Kuwait Petroleum Corporation;Parent company;;;;;;
222;35083;Unknown (Kuwait Fund For Arab Economic Development, Kuwait Investment Authority (KIA), Kuwait Petroleum Corporation);340;Kuwait Fund For Arab Economic Development;Parent company;;;;;;
223;35084;Unknown (Unnamed investor 54);342;Government of Myanmar;Parent company;;;;;;
224;35085;Unknown (Unnamed investor 55);343;Government of Thailand;Parent company;;;;;;
225;35085;Unknown (Unnamed investor 55);342;Government of Myanmar;Parent company;;;;;;
255;35091;Unknown (Abu Dhabi Group);349;Abu Dhabi Group;Parent company;;;;;;
256;35130;RP Harvest;2292;AMA Group Holdings Corp;Parent company;;;;;;
257;35130;RP Harvest;392;Nader & Ebrahim s/o Hassan Co.;Parent company;;;;;;
260;35098;Unknown (Shaikh Zaid Bib Nahyan of Abu Dhabi);358;Shaikh Zaid Bib Nahyan of Abu Dhabi;Parent company;;;;;;
264;35108;Joint Venture - Kijani Energy & Pakistan Agriculture Research Council (PRAC);368;Kijani Energy Canada;Parent company;;;;;;Company was reported to be from Canada, but as of June 2025 the company reports out of South Africa
282;35142;Unknown (Guangdong Academy of Agricultural Sciences);406;Guangdong Academy of Agricultural Sciences;Parent company;;;;;;
284;35148;Unknown (China Development Bank, Jilin Fuhua Agricultural Science and Technology Development, Co. Ltd., People’s Government of Jilin);413;Jilin Fuhua Agricultural Science and Technology Development Co. Ltd.;Parent company;;;;;;
285;35148;Unknown (China Development Bank, Jilin Fuhua Agricultural Science and Technology Development, Co. Ltd., People’s Government of Jilin);411;Regional Government of Jilin;Parent company;;;;;;
286;35148;Unknown (China Development Bank, Jilin Fuhua Agricultural Science and Technology Development, Co. Ltd., People’s Government of Jilin);412;China Development Bank;Parent company;;;;;;
291;35159;Unknown (Mitsubishi Corp.);425;Mitsubishi Corp.;Parent company;;;;;;
297;35164;Unknown (Jeonnam Feedstock Ltd.);432;Jeonnam Feedstock Ltd.;Parent company;;;;;;
345;35177;Unknown (Far East Agricultural Investment Co);442;Far Eastern Agricultural Investment Corporation (FEAICO);Parent company;;;;;;
346;35178;Unknown (East Asia Development and Agricultural Investment Company (EADACO));448;Tabuk Agricultural Development Company (TADCO);Parent company;;;;;;
348;38187;Centaurus Holdings S.A;3062;Klabin S.A;Parent company;;51.0;;;;
357;35189;Unknown (Highlands Development Cooperative);462;Highlands Development Cooperative;Parent company;;;;;;
358;35190;Unknown (Leyte Agri Corporation, Praj Industries Ltd);2070;Praj Industries Ltd;Parent company;;;;;;
359;35190;Unknown (Leyte Agri Corporation, Praj Industries Ltd);463;Leyte Agri Corporation;Parent company;;;;;;
362;35181;Charoen Pokphand Foods Philippines Corp.;498;Charoen Pokphand Group Co., Ltd. (CP Group);Parent company;Shares/Equity;100.0;4000000000.0;Philippine Peso (₱);2024-11-21;Lead investor/operator. CPF set up CPF Philippines Corp in 2007 and has since financed all major project components (feed mills, farms, hatcheries). It injects capital for construction and operation. CP Group (owned by the Chearavanont family) is the ultimate owner. CPF’s integration ensures supply of technology, breeding stock, and access to export markets.
363;35197;ECO Global Bio-Oils Inc;2914;Eco Solutions Co Ltd;Parent company;;;;;;
367;35202;Unknown (Biosystems Co. Ltd);478;Biosystems Co. Ltd;Parent company;;;;;;
372;35215;Unknown (Ruam Jai Chao Nah (Uniting Farmers));495;Ruam Jai Chao Nah (Uniting Farmers);Parent company;;;;;;
373;35216;University of Kasetsart;497;Viengsa Agricultural Co-operative;Parent company;;;;;;
374;35216;University of Kasetsart;496;University of Kasetsart;Parent company;;;;;;
377;35226;Unknown (Saudi Fund for Development, Unnamed investor 106);508;Unnamed investor 106;Parent company;;;;;;
378;35226;Unknown (Saudi Fund for Development, Unnamed investor 106);507;Saudi Fund for Development;Parent company;;;;;;
380;35237;Unknown (Vietnamese State);520;Vietnamese State;Parent company;;;;;;
381;35237;Unknown (Vietnamese State);519;Luveco Fruits and Vegetables;Parent company;;;;;;
431;35276;Pondicherry SEZ Co Ltd;2016;OM METALS INFRAPROJECTS LIMITED (OMIL);Parent company;;19.0;;;;
432;35276;Pondicherry SEZ Co Ltd;2017;PONDICHERRY INDUSTRIAL PROMOTION DEVELOPMENT AND INVESTMENT CORPORATION LIMITED(PIPDIC);Parent company;;19.0;;;;
433;35276;Pondicherry SEZ Co Ltd;562;Pondicherry SEZ Co Ltd;Parent company;;19.0;;;;
434;35276;Pondicherry SEZ Co Ltd;2015;SUBHASH PROJECTS AND MARKETING LIMITED (SPML);Parent company;;19.0;;;;
435;35277;Posco-India;573;POSCO;Parent company;;;;;;
438;35281;SIPCOT;2255;State Industries Promotion Corporation of Tamil Nadu (Sipcot);Parent company;;;;;;
447;35309;Jaisawal Nicco Kondkel;599;Jayaswal Neco Industries Limited (JNIL);Parent company;;;;;;
450;35316;Brandix India Apparel City Private Limited (BIAC);605;Brandix Lanka Limited;Parent company;;;;;;
451;35318;MAS Fabric Park (India) Private Limited (MFP);607;MAS Holdings;Parent company;;;;;;
452;35319;IFFCO Kisan SEZ Limited.;2241;Indian Farmers Fertilizer Co-operative Limited (IFFCO);Parent company;;;;;;
453;35319;IFFCO Kisan SEZ Limited.;608;IFFCO Kisan SEZ Limited.;Parent company;;;;;;
454;35320;Unknown (Rassai Properties & Industries Limited);609;Rassai Properties & Industries Limited;Parent company;;;;;;
468;35358;Unknown (KRAM S.A.);647;KRAM S.A.;Parent company;;;;;;
471;35366;MCC Minera Sierra Grande S.A;3107;A Grade Trading Ltda;Parent company;;;;;;
472;35366;MCC Minera Sierra Grande S.A;3106;China Metallurgical Group (CMG);Parent company;;;;;;
477;35411;Unknown (Monaxxion);706;Monaxxion;Parent company;;;;;;
478;35412;Unknown (Walton International Group Inc.);707;Walton International Group Inc.;Parent company;;;;;;
526;35473;Unknown (Global Farming Limited);777;Global Farming Limited;Parent company;;;;;;
527;35474;Unknown (RCPL Food Processing Pvt. LTDA.);778;RCPL Food Processing Pvt. LTDA.;Parent company;;;;;;
528;35475;Unknown (Solvent Extractors Association);337;Solvent Extractors’ Association (SEA) of India;Parent company;;;;;;
532;35481;Unknown (State Trading Corporation);785;State Trading Corporation;Parent company;;;;;;
533;35482;Minera Huaquillas S.A.C;3002;Inca One Resources Corp;Parent company;;;;;;
536;35509;Unknown (DOE RUN PERU S.R.L.);814;DOE RUN PERU S.R.L.;Parent company;;;;;;
538;35516;Unknown (Los Grobo);823;Los Grobo;Parent company;;;;;;
542;35523;Unknown (The Australia New Zealand Forest Fund);831;Alberta Investment Management Corp (AIMCo);Parent company;;;;;;
543;35523;Unknown (The Australia New Zealand Forest Fund);832;The Australia New Zealand Forest Fund;Parent company;;;;;;
547;35534;Unknown (KTG Agrar);845;KTG Agrar;Parent company;;;;;;
548;35537;Unknown (Agria);848;Agria;Parent company;;;;;;
549;35538;Unknown (Bright Dairy and  Food Group);849;Bright Dairy and  Food Group;Parent company;;;;;;
550;35539;Unknown (Ingleby, Unnamed investor 135);851;Ingleby;Parent company;;;;;;
551;35539;Unknown (Ingleby, Unnamed investor 135);852;Unnamed investor 135;Parent company;;;;;;
552;35540;Unknown (Natural Dairy NZ);853;Natural Dairy NZ;Parent company;;;;;;
553;35540;Unknown (Natural Dairy NZ);854;Unnamed investor 136;Parent company;;;;;;
554;35544;Unknown (Origin);857;Origin;Parent company;;;;;;
562;35551;Unknown (Schroders Plc);865;Schroders Plc;Parent company;;;;;;
593;35552;Unknown (Pharos Financial Group, Miro Holdings International);867;Miro Holdings International;Parent company;;;;;;
594;35552;Unknown (Pharos Financial Group, Miro Holdings International);1725;Pharos Financial Group;Parent company;;;;;;
595;35556;Unknown (private investors);872;private investors Iran;Parent company;;;;;;
596;35559;Nastyusha;876;Grain Company Nastyusha;Parent company;;;;;;
602;35568;Tristan Fresh Produce;3120;Koeleman Foods International B.V.;Parent company;;;;;;
603;35570;Unknown (Unnamed investor 141);889;Unnamed investor 141;Parent company;;;;;;
605;35587;Ukrzernoprom Agro LLC;909;MCB Agricole;Parent company;;;;;;
606;35613;Unknown (Gleinol);937;Gleinol;Parent company;;;;;;
609;35627;Unknown (Complant);953;Complant (China National Complete Plant Import & Export Corp., Ltd.);Parent company;;100.0;;;;
610;35629;Unknown (Green Waves);955;Green Waves;Parent company;;;;;;
611;35631;Unknown (Betexco);957;Betexco;Parent company;;100.0;;;;
670;35580;"""TAS AGRO"" LLC";902;"JSC ""TAS Group""";Parent company;;;;;;
673;35677;Unknown (I.D.C Investment, Unnamed investor 164);1010;I.D.C Investment;Parent company;;80.0;;;;
674;35677;Unknown (I.D.C Investment, Unnamed investor 164);1011;Unnamed investor 164;Parent company;;80.0;;;;
675;35688;Punjab farmer association;1022;Punjab farmer association;Parent company;;;;;;
676;35682;National Biodiesel Corporation;1017;National Biodiesel Corporation;Parent company;;20.0;;;;
677;35682;National Biodiesel Corporation;1015;Sun Biofuels;Parent company;;80.0;;;;
685;35705;Ardent Energy Group Ethiopia;1040;Ardent Energy Group;Parent company;;;;;;
686;35705;Ardent Energy Group Ethiopia;2070;Praj Industries Ltd;Parent company;;;;;;
687;35706;Unknown (Africa Ethiopia Biomass Energy PLC);1041;Africa Ethiopia Biomass Energy PLC;Parent company;;;;;;
688;35690;Ruchi Agri Plc;2427;Ruchi Soya Industries;Parent company;;;;;;
690;35707;Unknown (Unnamed investor 170);1042;Unnamed investor 170;Parent company;;;;;;
694;35723;Unknown (Hovev Agriculture);1058;Hovev Agriculture;Parent company;;;;;;
695;35725;Unknown (Yehuda Hayun);1060;Yehuda Hayun;Parent company;;100.0;;;;
697;35730;Adventure Ethiopia Agriculture Development P.L.C.;1065;Adventure Ethiopia;Parent company;;30.0;;;;
698;35730;Adventure Ethiopia Agriculture Development P.L.C.;1067;Unnamed investor 177;Parent company;;30.0;;;;
699;35730;Adventure Ethiopia Agriculture Development P.L.C.;1066;Unnamed investor 176;Parent company;;30.0;;;;
700;35731;Unknown (Ertale Bio Diesel PLC, Unnamed investor 178);1068;Ertale Bio Diesel PLC;Parent company;;49.0;;;;
701;35731;Unknown (Ertale Bio Diesel PLC, Unnamed investor 178);1069;Unnamed investor 178;Parent company;;49.0;;;;
704;35735;Unknown (African Climate Exchange PLC, Unnamed investor 183);1077;African Climate Exchange PLC;Parent company;;75.0;;;;
705;35735;Unknown (African Climate Exchange PLC, Unnamed investor 183);1078;Unnamed investor 183;Parent company;;75.0;;;;
706;35736;Unknown (J.M.B.O Biofuel Production, Unnamed investor 184);1079;J.M.B.O Biofuel Production;Parent company;;;;;;
707;35738;Morrell Agro Industries;1083;Morrell Agro Industries PLC;Parent company;;;;;;
708;35739;Unknown (A.B.S.A Biofuels PLC, Unnamed investor 187, Unnamed investor 188);1085;A.B.S.A Biofuels PLC;Parent company;;60.0;;;;
709;35739;Unknown (A.B.S.A Biofuels PLC, Unnamed investor 187, Unnamed investor 188);1087;Unnamed investor 188;Parent company;;60.0;;;;
710;35739;Unknown (A.B.S.A Biofuels PLC, Unnamed investor 187, Unnamed investor 188);1086;Unnamed investor 187;Parent company;;60.0;;;;
711;35742;Unknown (F.E.P.E Amero Bio-Oil, Unnamed investor 192);1093;F.E.P.E Amero Bio-Oil;Parent company;;;;;;
713;35752;Unknown (Chadha Agro Plc);1104;Chadha Agro Plc;Parent company;;;;;;
714;35754;Unknown (Elva NederlandLtd );1106;Elva NederlandLtd;Parent company;;100.0;;;;
716;35764;Unknown (J. García-Carrión);1118;J. García-Carrión;Parent company;;;;;;
769;35822;Platinum Madagascar SARL;2000;GEXSI;Parent company;;;;;;
770;35822;Platinum Madagascar SARL;2001;Futuro Forestal;Parent company;;;;;;
771;35780;Mozbife;1139;Agriterra Ltd;Parent company;;;;;;
774;35813;Unknown (ER Company);1174;ER Company;Parent company;;;;;;
775;35788;Unknown (Qatari Government);1147;Qatari Government;Parent company;;;;;;
776;35824;Unknown (Landmark);1187;Landmark;Parent company;;;;;;
780;35821;JatroGreen S.A.R.L.;1183;GreenIsland Madagascar;Parent company;;;;;;
781;35821;JatroGreen S.A.R.L.;1182;Jatro Solutions;Parent company;;;;;;
782;35802;Unknown (Unnamed investor 201);1162;Unnamed investor 201;Parent company;;;;;;
784;35791;Unknown (Bioenergy International);1150;Bioenergy International;Parent company;;;;;;
785;35799;Firestone Liberia Inc;2132;Bridgestone Corporation;Parent company;;100.0;;;;
786;35743;Whitefield Cotton Farm Plc;2602;Sara Cotton Fibers Ltd;Parent company;;100.0;;;;
787;35814;Unknown (ERS);1175;ERS;Parent company;;;;;;
788;35839;Unknown (Soabe);1203;Soabe;Parent company;;100.0;;;;
789;35807;Unknown (TEA (Tiris Euro Arab));1166;TEA (Tiris Euro Arab);Parent company;;100.0;;;;
790;35849;Unknown (Magnard);1215;Magnard;Parent company;;;;;;
792;35817;Unknown (Global Agro-Fuel);1178;Global Agro-Fuel;Parent company;;;;;;
793;35818;Unknown (International bank for Reconstruction and Development);1999;Government of Madagascar;Parent company;;;;;;
794;35819;Unknown (J and J);1180;J and J;Parent company;;;;;;
795;35820;Unknown (J Oils);1181;J-Oil;Parent company;;100.0;;;;
797;35831;Unknown (Montevede);1195;Monteverde;Parent company;;;;;;
799;35833;Unknown (NOTS);1197;NOTS Renewable Energy BV;Parent company;;;;;;
800;35810;SMCTR Société Malgache de Collecte et de Transformation de la Résine;1171;DRT;Parent company;;100.0;;;;
801;35835;Unknown (Osho Group);1199;Osho Group;Parent company;;;;;;
805;35846;Unknown (Unitech);1212;Unitech;Parent company;;;;;;
806;35847;Unknown (Vaudo);1213;Vaudo;Parent company;;;;;;
807;35848;Unknown (Weichu Madagascar Agricultural Development Company);1214;Weichu Madagascar Agricultural Development Company;Parent company;;;;;;
808;35855;Unknown (Assil Meroueh);1221;Assil Meroueh;Parent company;;;;;;
809;35856;Unknown (Soudan Fayez);1222;Soudan Fayez;Parent company;;;;;;
810;35857;Mali Folkcenter;2448;Danish Folkecenter for Renewable Energy;Parent company;;;;;;
811;35860;Unknown (CEN_SAD (Community of Sahel-Saheriens));1227;CEN_SAD (Community of Sahel-Saheriens);Parent company;;;;;;
813;35866;Unknown (Southern Global Inc.);1235;Southern Global Inc.;Parent company;;;;;;
841;35876;Unknown (Unnamed investor 216);1244;Unnamed investor 216;Parent company;;;;;;
842;35927;Unknown (SAPPI);1307;SAPPI;Parent company;;;;;;
843;35882;Unknown (Co-Enterprise);1251;Co-Enterprise;Parent company;;;;;;
844;35950;Unknown (EAM (Empreendimentos Agrarios de Moçambique));1330;EAM (Empreendimentos Agrarios de Moçambique);Parent company;;;;;;
845;35888;Unknown (CAMEX);1260;CAMEX;Parent company;;;;;;
846;35890;SOCOGEM;1239;Groupe Tomota;Parent company;;;;;;
847;35891;3M;2774;société Moulin moderne du Mali (3M);Parent company;;100.0;;;;
849;35894;Unknown (C3 Biodiesel);1265;C3 Biodiesel;Parent company;;;;;;
851;35900;Grupo Madal;1273;Rift Valley Corporation;Parent company;;100.0;;;;
852;35902;Unknown (Geralco);1275;Geralco;Parent company;;;;;;
853;35906;Unknown (Government, Petromoc);1684;Petromoc;Parent company;;;;;;
854;35906;Unknown (Government, Petromoc);2093;Government of Mozambique;Parent company;;;;;;
855;35909;SAB Mozambique/Inveragro;1285;Gruppo Api;Parent company;;;;;;
856;35909;SAB Mozambique/Inveragro;1286;Gruppo Industriale Maccaferri;Parent company;;;;;;
863;35913;Enerterra;1291;SGC Energia;Parent company;;;;;;
865;35917;Niqel Lda;1295;Dutch Jatropha Consortium;Parent company;;;;;;
866;35924;Unknown (Sabie Game Park);1304;Sabie Game Park;Parent company;;;;;;
869;35928;Unknown (SAP-Sociedade Agropecuaria, SARL);1308;SAP-Sociedade Agropecuaria, SARL;Parent company;;;;;;
870;35929;Unknown (Manuel B. Medeiros);1309;Manuel B. Medeiros;Parent company;;;;;;
871;35931;Unknown (NTC);1311;NTC;Parent company;;;;;;
872;35932;Unknown (Gestor, Lda);1312;Gestor, Lda;Parent company;;;;;;
873;35933;Unknown (Isabel M. F. Lopes e A. Lopes (Herdeiros));1313;Isabel M. F. Lopes e A. Lopes (Herdeiros);Parent company;;;;;;
874;35934;Unknown (Zefanias E. Oguane);1314;Zefanias E. Oguane;Parent company;;;;;;
875;35935;Unknown (Agostinho F. Lissane);1315;Agostinho F. Lissane;Parent company;;;;;;
877;35937;Unknown (Miguel João Mondlane);1317;Miguel João Mondlane;Parent company;;;;;;
878;35938;Unknown (Francisco J. Gonçalves);1318;Francisco J. Gonçalves;Parent company;;;;;;
879;35939;Unknown (Juma Juma F. Ussene);1319;Juma Juma F. Ussene;Parent company;;;;;;
880;35940;Unknown (Ofelia Jose Mausse);1320;Ofelia Jose Mausse;Parent company;;;;;;
881;35941;Unknown (Omar Cassamo);1321;Omar Cassamo;Parent company;;;;;;
882;35943;Unknown (Justino M. Novela);1323;Justino M. Novela;Parent company;;;;;;
883;35944;Unknown (Azevedo Suege);1324;Azevedo Suege;Parent company;;;;;;
887;35946;Unknown (Sociedade Dambaera Safaris, Lda);1326;Sociedade Dambaera Safaris, Lda;Parent company;;;;;;
888;35947;Unknown (Moby Agro, Lda);1327;Moby Agro, Lda;Parent company;;;;;;
889;35949;Unknown (Maria F. de R. Rohomodja);1329;Maria F. de R. Rohomodja;Parent company;;;;;;
890;35951;Unknown (Jose Pinto Matavel);1331;Jose Pinto Matavel;Parent company;;;;;;
891;35952;Unknown (Raimundo Uahala);1332;Raimundo Uahala;Parent company;;;;;;
892;35954;Unknown (Companhia Agricola de Muroa);1334;Companhia Agricola de Muroa;Parent company;;;;;;
895;35959;Unknown (Versus Moçambique, Lda);1339;Versus Moçambique, Lda;Parent company;;;;;;
898;35962;Unknown (Neotech, Lda);1342;Neotech, Lda;Parent company;;;;;;
899;35963;Unknown (Sociedade Muangaza Safaris, Lda.);1343;Sociedade Muangaza Safaris, Lda.;Parent company;;;;;;
900;35964;Unknown (Hunters Mozambique Lda);1344;Hunters Mozambique Lda;Parent company;;;;;;
901;35966;Unknown (Luis Antonio Mondlane);1346;Luis Antonio Mondlane;Parent company;;;;;;
932;36040;Unknown (Prince Budr Bin Sultan);1430;Prince Budr Bin Sultan;Parent company;;100.0;;;;
935;36048;Unknown (African Commericial Development (ACD), Joint Aid Management (JAM));1440;African Commericial Development (ACD);Parent company;;;;;;
936;36048;Unknown (African Commericial Development (ACD), Joint Aid Management (JAM));1439;Joint Aid Management (JAM);Parent company;;;;;;
941;35973;Unknown (Unnamed investor 227);2239;Government of Djibouti;Parent company;;100.0;;;;
943;35990;Unknown (Unnamed investor 233);1796;Edo State Government;Parent company;;40.0;;;;
944;35990;Unknown (Unnamed investor 233);1374;Unnamed investor 233;Parent company;;60.0;;;;
945;36051;Unknown (Blue Lakes Limited);1444;Blue Lakes Limited;Parent company;;;;;;
946;36044;Unknown (Fenno Caledonian);1435;Fenno Caledonian;Parent company;;;;;;
947;35994;Compagnie Hévéicole de Cavally (CHC);1378;Société d’Investissement pour l’Agriculture Tropicale (SIAT);Parent company;;60.0;;;;Other source stated that In August 2007, Siat acquired 100% ownership of Compagnie Hévéicole de Cavally (CHC) from CDC London, who in turn acquired the company from the Government of Ivory Coast in the early eighties
950;36001;Unknown (Lix Konti Ranch & Industries Ltd);1385;Lix Konti Ranch & Industries Ltd;Parent company;;;;;;
951;36002;Unknown (Kwara Greens Ltd);1386;Kwara Greens Ltd;Parent company;;;;;;
952;36003;Unknown (Jatropha Farmers Development Foundation);3171;Jatropha Farmers Development Foundation;Parent company;;;;;;
953;36004;Kwara Casplex Limited;1388;Casplex Ltd.;Parent company;;;;;;
